QUERY: 	new coronavirus cases
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags	Cluster
14	636	#COVID19 metrics remain high across NTX. Dallas County reported 1,852 new cases and 3 deaths Sunday. Tarrant County reported 1,535 new cases and 2 deaths Sunday. Denton County: 389 new cases Saturday. Collin County: 442 new cases and 5 deaths Saturday. #coronavirus #dfw https://t.co/SJBhVIs9E5	NicOseiNews	Mon Dec 07 12:53:55 +0000 2020	https://twitter.com/twitter/statuses/1335930539807797248	2	2	[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'coronavirus', 'indices': [253, 265]}, {'text': 'dfw', 'indices': [266, 270]}]	1
15	16521	Health Ministry: 984 new #coronavirus cases, 16 new deaths in #Lebanon	MTVEnglishNews	Mon Dec 07 16:22:37 +0000 2020	https://twitter.com/twitter/statuses/1335983060840574977	0	1	[{'text': 'coronavirus', 'indices': [25, 37]}, {'text': 'Lebanon', 'indices': [62, 70]}]	1
16	5427	"#COVID19Update (7 Dec): 178 new confirmed cases (133 community cases, 45 returnees from abroad), no new death, and 218 new recoveries in the last 24 hours.

#FlatteningTheCurve #YourSafetyIsMySafety #QatarCOVID19Watch #Coronavirus #CoronavirusQatar #COVID19Qatar @MOPHQatar https://t.co/ABcwVwJOzD"	MarhabaQatar	Mon Dec 07 14:09:32 +0000 2020	https://twitter.com/twitter/statuses/1335949567121006592	0	0	[{'text': 'COVID19Update', 'indices': [0, 14]}, {'text': 'FlatteningTheCurve', 'indices': [157, 176]}, {'text': 'YourSafetyIsMySafety', 'indices': [177, 198]}, {'text': 'QatarCOVID19Watch', 'indices': [199, 217]}, {'text': 'Coronavirus', 'indices': [218, 230]}, {'text': 'CoronavirusQatar', 'indices': [231, 248]}, {'text': 'COVID19Qatar', 'indices': [249, 262]}]	1
17	192	"#Breaking: #CoronaTNUpdate 1,312 - new cases in #TN on Dec 07th! #Coronavirus positive cases in #TamilNadu Total - 791,552 | 

#COVID #COVID19India #CoronaOutbreak #CoronaVirus #Corona #GalattaCares"	galattadotcom	Mon Dec 07 12:46:22 +0000 2020	https://twitter.com/twitter/statuses/1335928637766320131	2	3	[{'text': 'Breaking', 'indices': [0, 9]}, {'text': 'CoronaTNUpdate', 'indices': [11, 26]}, {'text': 'TN', 'indices': [48, 51]}, {'text': 'Coronavirus', 'indices': [65, 77]}, {'text': 'TamilNadu', 'indices': [96, 106]}, {'text': 'COVID', 'indices': [127, 133]}, {'text': 'COVID19India', 'indices': [134, 147]}, {'text': 'CoronaOutbreak', 'indices': [148, 163]}, {'text': 'CoronaVirus', 'indices': [164, 176]}, {'text': 'Corona', 'indices': [177, 184]}, {'text': 'GalattaCares', 'indices': [185, 198]}]	1
18	11623	More than 1,900 new #COVID19 cases in #Ontario today https://t.co/KuLdzCVfPH #Coronavirus	Oldies1009	Mon Dec 07 15:17:50 +0000 2020	https://twitter.com/twitter/statuses/1335966757576724482	0	2	[{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'Ontario', 'indices': [38, 46]}, {'text': 'Coronavirus', 'indices': [77, 89]}]	1
19	1862	"A total of 316 new corona positive cases are reported in last 24 hours in AP, with this total positive cases reaches 8,72,288 and the death toll rises to 7,038. While 8,59.624 patients recovered and 5,626 cases are being treated.

#CoronaVirusInAP #APGovt #CoronaVirus  #MangoNews https://t.co/oRnYuNLQdz"	Mango_News	Mon Dec 07 13:15:00 +0000 2020	https://twitter.com/twitter/statuses/1335935843853164552	0	0	[{'text': 'CoronaVirusInAP', 'indices': [231, 247]}, {'text': 'APGovt', 'indices': [248, 255]}, {'text': 'CoronaVirus', 'indices': [256, 268]}, {'text': 'MangoNews', 'indices': [270, 280]}]	1
20	12659	"[2020-12-07]
New Cases: 1925
Tests Completed: 45283
% Positivity: 4.25
Total Cases: 129234
#COVID19Toronto #COVID19Ontario #Coronavirus
Like and retweet to inform others!
https://t.co/natWmgGfNQ"	OntarioCovid19	Mon Dec 07 15:30:56 +0000 2020	https://twitter.com/twitter/statuses/1335970052902948871	3	6	[{'text': 'COVID19Toronto', 'indices': [91, 106]}, {'text': 'COVID19Ontario', 'indices': [107, 122]}, {'text': 'Coronavirus', 'indices': [123, 135]}]	1
QUERY: 	covid vaccine
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags	Cluster
 
