QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
4	14765	"11,953 new cases and 431 new deaths in Poland 

[9:37 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 09:37:07 +0000 2020	https://twitter.com/twitter/statuses/1339504890251534339	0	0	[{'text': 'coronavirus', 'indices': [59, 71]}, {'text': 'CoronaVirusUpdate', 'indices': [72, 90]}, {'text': 'COVID19', 'indices': [91, 99]}, {'text': 'CoronavirusPandemic', 'indices': [100, 120]}]
5	17703	"5,697 new cases and 107 new deaths in Romania 

[12:18 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 12:18:24 +0000 2020	https://twitter.com/twitter/statuses/1339545480997552128	0	0	[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'CoronaVirusUpdate', 'indices': [73, 91]}, {'text': 'COVID19', 'indices': [92, 100]}, {'text': 'CoronavirusPandemic', 'indices': [101, 121]}]
6	5995	"695 new cases and 17 new deaths in Albania 

[15:51 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Mon Dec 07 15:51:15 +0000 2020	https://twitter.com/twitter/statuses/1335975166770368512	0	0	[{'text': 'coronavirus', 'indices': [57, 69]}, {'text': 'CoronaVirusUpdate', 'indices': [70, 88]}, {'text': 'COVID19', 'indices': [89, 97]}, {'text': 'CoronavirusPandemic', 'indices': [98, 118]}]
7	15183	"#Japan reports 3,169 new #coronavirus cases https://t.co/C2HqClrsqD
#Sharjah24 https://t.co/ujLhJmXcrZ"	sharjah24	Thu Dec 17 10:17:14 +0000 2020	https://twitter.com/twitter/statuses/1339514987849658372	0	0	[{'text': 'Japan', 'indices': [0, 6]}, {'text': 'coronavirus', 'indices': [25, 37]}, {'text': 'Sharjah24', 'indices': [68, 78]}]
8	14541	"3,045 new cases and 69 new deaths in Slovakia 

[9:26 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 09:26:05 +0000 2020	https://twitter.com/twitter/statuses/1339502114637307905	1	0	[{'text': 'coronavirus', 'indices': [59, 71]}, {'text': 'CoronaVirusUpdate', 'indices': [72, 90]}, {'text': 'COVID19', 'indices': [91, 99]}, {'text': 'CoronavirusPandemic', 'indices': [100, 120]}]
9	2770	"Nine deaths, 280 new cases in J&amp;K

#CoronaVirusUpdates #Coronapandemic #Coronavirus #JammuKashmir https://t.co/Bors4h6uZz"	jkmediasocial	Mon Dec 07 13:57:51 +0000 2020	https://twitter.com/twitter/statuses/1335946628876791808	0	8	[{'text': 'CoronaVirusUpdates', 'indices': [39, 58]}, {'text': 'Coronapandemic', 'indices': [59, 74]}, {'text': 'Coronavirus', 'indices': [75, 87]}, {'text': 'JammuKashmir', 'indices': [88, 101]}]
10	5062	"124 new cases and 24 new deaths in Guatemala 

[15:18 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Mon Dec 07 15:18:14 +0000 2020	https://twitter.com/twitter/statuses/1335966857464066051	0	0	[{'text': 'coronavirus', 'indices': [59, 71]}, {'text': 'CoronaVirusUpdate', 'indices': [72, 90]}, {'text': 'COVID19', 'indices': [91, 99]}, {'text': 'CoronavirusPandemic', 'indices': [100, 120]}]
11	2623	"1,815 new cases and 28 new deaths in Iraq 

[13:50 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Mon Dec 07 13:50:57 +0000 2020	https://twitter.com/twitter/statuses/1335944891076141057	0	0	[{'text': 'coronavirus', 'indices': [56, 68]}, {'text': 'CoronaVirusUpdate', 'indices': [69, 87]}, {'text': 'COVID19', 'indices': [88, 96]}, {'text': 'CoronavirusPandemic', 'indices': [97, 117]}]
12	2375	"7,067 new cases and 17 new deaths in the Netherlands 

[13:39 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Mon Dec 07 13:39:57 +0000 2020	https://twitter.com/twitter/statuses/1335942122386677762	0	1	[{'text': 'coronavirus', 'indices': [67, 79]}, {'text': 'CoronaVirusUpdate', 'indices': [80, 98]}, {'text': 'COVID19', 'indices': [99, 107]}, {'text': 'CoronavirusPandemic', 'indices': [108, 128]}]
13	15125	"1,137 new cases and 36 new deaths in Bangladesh 

[10:14 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 10:14:34 +0000 2020	https://twitter.com/twitter/statuses/1339514315905351681	0	0	[{'text': 'coronavirus', 'indices': [62, 74]}, {'text': 'CoronaVirusUpdate', 'indices': [75, 93]}, {'text': 'COVID19', 'indices': [94, 102]}, {'text': 'CoronavirusPandemic', 'indices': [103, 123]}]
