QUERY: 	I got covid
Ranking	Tweet	Text	Username	Date	URL	Retweets	Likes	Hashtags
5	6937	Health Ministry: 984 new #coronavirus cases, 16 new deaths in #Lebanon	MTVEnglishNews	Mon Dec 07 16:22:37 +0000 2020	https://twitter.com/twitter/statuses/1335983060840574977	0	1	[{'text': 'coronavirus', 'indices': [25, 37]}, {'text': 'Lebanon', 'indices': [62, 70]}]
6	6061	There were 16 health units that reported 10 or more new cases, with Toronto, Durham, Peel and York each reporting more than 100 new cases. There were 12 that reported fewer than 10 new cases, while six reported none. #COVID19Ontario #coronavirus #COVID19 https://t.co/ZMTxmOrlYP	SeanPrevil	Mon Dec 07 15:53:44 +0000 2020	https://twitter.com/twitter/statuses/1335975790035562496	0	0	[{'text': 'COVID19Ontario', 'indices': [217, 232]}, {'text': 'coronavirus', 'indices': [233, 245]}, {'text': 'COVID19', 'indices': [246, 254]}]
7	1271	#COVID19 metrics remain high across NTX. Dallas County reported 1,852 new cases and 3 deaths Sunday. Tarrant County reported 1,535 new cases and 2 deaths Sunday. Denton County: 389 new cases Saturday. Collin County: 442 new cases and 5 deaths Saturday. #coronavirus #dfw https://t.co/SJBhVIs9E5	NicOseiNews	Mon Dec 07 12:53:55 +0000 2020	https://twitter.com/twitter/statuses/1335930539807797248	2	2	[{'text': 'COVID19', 'indices': [0, 8]}, {'text': 'coronavirus', 'indices': [253, 265]}, {'text': 'dfw', 'indices': [266, 270]}]
8	19369	California is now reporting more #coronavirus cases than most countries. Yesterday more than 53-thousand new cases were reported, the most statewide by far. Another record, 293 new deaths reported.	LauraGarciaNBC	Thu Dec 17 13:30:00 +0000 2020	https://twitter.com/twitter/statuses/1339563500000178179	4	12	[{'text': 'coronavirus', 'indices': [33, 45]}]
9	3096	"#COVID19Update (7 Dec): 178 new confirmed cases (133 community cases, 45 returnees from abroad), no new death, and 218 new recoveries in the last 24 hours.

#FlatteningTheCurve #YourSafetyIsMySafety #QatarCOVID19Watch #Coronavirus #CoronavirusQatar #COVID19Qatar @MOPHQatar https://t.co/ABcwVwJOzD"	MarhabaQatar	Mon Dec 07 14:09:32 +0000 2020	https://twitter.com/twitter/statuses/1335949567121006592	0	0	[{'text': 'COVID19Update', 'indices': [0, 14]}, {'text': 'FlatteningTheCurve', 'indices': [157, 176]}, {'text': 'YourSafetyIsMySafety', 'indices': [177, 198]}, {'text': 'QatarCOVID19Watch', 'indices': [199, 217]}, {'text': 'Coronavirus', 'indices': [218, 230]}, {'text': 'CoronavirusQatar', 'indices': [231, 248]}, {'text': 'COVID19Qatar', 'indices': [249, 262]}]
10	18914	"4,034 new cases and 17 new deaths in Denmark 

[13:13 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 13:13:29 +0000 2020	https://twitter.com/twitter/statuses/1339559342530584576	0	0	[{'text': 'coronavirus', 'indices': [59, 71]}, {'text': 'CoronaVirusUpdate', 'indices': [72, 90]}, {'text': 'COVID19', 'indices': [91, 99]}, {'text': 'CoronavirusPandemic', 'indices': [100, 120]}]
11	18410	"4,750 new cases and 151 new deaths in Germany 

[12:51 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 12:51:26 +0000 2020	https://twitter.com/twitter/statuses/1339553793726443521	0	0	[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'CoronaVirusUpdate', 'indices': [73, 91]}, {'text': 'COVID19', 'indices': [92, 100]}, {'text': 'CoronavirusPandemic', 'indices': [101, 121]}]
12	18015	"183 new cases and 12 new deaths in Sudan 

[12:34 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 12:34:56 +0000 2020	https://twitter.com/twitter/statuses/1339549640300109825	0	0	[{'text': 'coronavirus', 'indices': [55, 67]}, {'text': 'CoronaVirusUpdate', 'indices': [68, 86]}, {'text': 'COVID19', 'indices': [87, 95]}, {'text': 'CoronavirusPandemic', 'indices': [96, 116]}]
13	17916	"83 new cases and 3 new deaths in Somalia 

[12:29 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 12:29:26 +0000 2020	https://twitter.com/twitter/statuses/1339548255730937856	0	0	[{'text': 'coronavirus', 'indices': [55, 67]}, {'text': 'CoronaVirusUpdate', 'indices': [68, 86]}, {'text': 'COVID19', 'indices': [87, 95]}, {'text': 'CoronavirusPandemic', 'indices': [96, 116]}]
14	17826	"1,533 new cases and 14 new deaths in Iraq 

[12:23 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"	COVIDLive	Thu Dec 17 12:23:54 +0000 2020	https://twitter.com/twitter/statuses/1339546864157388806	0	0	[{'text': 'coronavirus', 'indices': [56, 68]}, {'text': 'CoronaVirusUpdate', 'indices': [69, 87]}, {'text': 'COVID19', 'indices': [88, 96]}, {'text': 'CoronavirusPandemic', 'indices': [97, 117]}]
